查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
要素市场扭曲和制度质量对研发投入的影响——基于中国高技术产业的实证分析,2020,2020.06.28,深圳大学经济学院/中国质量经济发展研究院,刘伟丽;刘宏楠,要素市场扭曲和制度质量对研发投入的影响——基于中国高技术产业的实证分析,财经问题研究 ,No.06,F276.44,[32-39],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keapwUqBYz-nR3YM9p3yInTsibzln4-tkrqpxChPuPgkLoJ-vCVmItD3elYTlbRwWiMAfKuiW5pAr82EHkEiQ589qMv-k0awxMo7jVI2dfsh6_uTCrWyHY0-DAKMmUf8sdSSrhK2hQfitZu_49d2phl_GAcyG-lDxKigWhImvm3HA==&uniplatform=NZKPT&language=CHS
大型赛事志愿者组织社会化阶段与策略研究,2024,2025.02.10,1.武汉商学院体育学院.国际马术学院;2.浙大城市学院新闻与传播学院;3.杭州师范大学体育学院,杨茜;郭晴;王宏江;刘欣,大型赛事志愿者组织社会化阶段与策略研究,体育科学 ,No.11,D632.9;G808.2,[32-39],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcFDCmyi2LpdBuZR06K3BzeviNmGcLDFK429fyzl0Xi-qnrzGP125wy_grppUC2nDJdVx9Lcp3b8UnmQPQgRwx0aZPP9KGu6piw2bmySpM66Bq5ghL7xFISXgq1XTIcNJcj6CqNonPzX0VNEnRVUsCdflxhzlz76AYA51j20U2HVA==&uniplatform=NZKPT&language=CHS
传教士与传教碑——《大秦景教碑》之美国接受史,2020,2020.07.23,南京大学文学院,叶蕾蕾,传教士与传教碑——《大秦景教碑》之美国接受史,世界宗教研究 ,No.03,B979,[133-143],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcMathfYJZzd3QQhwhQvG9MKt41a0IgyUS1ZvCvzWlKZjpQj15WPjxSHAUcTk2VnlJ-TdjTklICu-oQ0FTrNTFahOs8q3ST97xenFJeXYPeHecPD7o1G8xuYMoOOjRrzlI5XzNmdCX-0BjtmdAggULsaGJ3PsFBBxcVjL9Cyvj_mg==&uniplatform=NZKPT&language=CHS
论司各特小说中的冤狱书写与法律理想,2024,2024.08.26,浙江大学文学院,吴笛;陈逢丹,论司各特小说中的冤狱书写与法律理想,浙江学刊 ,No.05,I561.074;D909,[101-108+239],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keUkTazszyD2e7B1qcNBnh4R8q0Q-frizYc-hAGFhpYyMlk4ydNlGfCTYI0UMlqtduzUGq65seP7-6d3dL0kUBztQA9hmJ0criVkNGBhwyn_qQPbKFd7XViRt5l8iLa8shjmmmroF0SCZseBZ-gsXcOgN5Pw5oRj8EZHrYK7MVAnA==&uniplatform=NZKPT&language=CHS
南非作家加尔格特的时代与文学,2024,2024.05.14,,蒋晖,南非作家加尔格特的时代与文学,读书 ,No.05,I478.06,[109-116],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keiz2zMDhrqUqBSsjlb6EqkXlzP5y4WP1AMtXkZoc3Psy-85v5RkKbZy_g-e2UZ9kbtPwfYR1JyBkeRnjJP6Oa3etRPltOqfyVLtWpf367KeWEfFSn1rjUrUIO4sAFn5RFtTSVLiMntrRW_dsrEu2ZOrkOELdcAYpXNmaMpZtnM7Q==&uniplatform=NZKPT&language=CHS
深层结构上的贯通,2023,2023.11.21,,林巍,深层结构上的贯通,中国翻译 ,No.05,H315.9,[183-187],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke1oIJ722N71y3S5OjbvS7IfdaDRNfPYGXSb0z9ZrRBw1DotuSUvvpq6t4Izv25--n1tsYS4mK4QC6bTjwvKMj4pM2-FMN0wXDZjHsTCNymUMeCriJRANODZGhCJA66b2AHrtjpXNUl85QTxpEtuY7Plkxt036IjhrtNzkh394AJw==&uniplatform=NZKPT&language=CHS
零售商嵌入零售技术的策略选择与模式演化,2020,2020.11.25,1.湖北大学商学院;2.华中师范大学信息管理学院,胡凤英;周正龙,零售商嵌入零售技术的策略选择与模式演化,管理学报 ,No.11,F274,[1706-1715],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcDPBxf5imNd1N_AsT3nHYeow3GMd8ZgHzwc-iZWBVF-DkR_zoMlwGaemzGpetGnYWzpiWmpPHNR5lZ1Q8ivjdT8jIM7J9Rxn9DAEWL6ZMqj6jl7q0x1Hy9jkkOllYtlMl8et4R-W7u9rvONBq6XOkS4WHmoPXDJMJhHB_0ATZJAA==&uniplatform=NZKPT&language=CHS
大学生主观童年创伤对抑郁的影响：抗挫折能力和外向性的多重中介效应,2021,2021.01.22,四川师范大学脑与心理科学研究院,杨文敏;鲁嘉晨;谭欣;梁静远;雷怡,大学生主观童年创伤症状对抑郁的影响:抗挫折能力和外向性的多重中介效应,心理发展与教育 ,No.01,G444,[128-136],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdeZXhDoUJOYJ0HWdAILGd0Ka_Lcsk4laW75yUAGKiUCVitLc_Vg4T5dhkd948-2-IgnP6aaiacJ33iyr4ozQuOSDo7D2TThQG__La622QqZQUj42gFqSWfq1dFnBUV1m1JaGVYr_dIsc0JzgpjrZkGsjN43x0fxuWTxl6PQoDZxg==&uniplatform=NZKPT&language=CHS
从“天下观”看中华民族共同体的文明意蕴,查看该刊,2024.07.21,中南民族大学中华民族共同体研究院,方清云,从“天下观”看中华民族共同体的文明意蕴——<中华民族共同体概论>教材关键概念解析 网络首发,中南民族大学学报(人文社会科学版) ,,G641;D633,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc94aCpdcDF_7xFzyQFwjr4JoVCsmmR1FsYSnkq_67z--5LjksXKSTIRQU8Lcr9ukAO_rRRZ1x8KJx95-DxwwsxnjUmZ3IpgsHgjhyEadF6rkUVdLHQEjjE1dlgnljJFVLjEjlFMKnO8HhYkZzbMndTb_2b82gXpyFVpz8AUQYBdQ==&uniplatform=NZKPT&language=CHS
教育评价悖论:表征、成因与化解,2024,2025.03.25,厦门大学高等教育发展研究中心,刘振天;周子怡,教育评价悖论:表征、成因与化解,北京大学教育评论 ,No.04,G40-058.1,[169-183],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kemeGlHE-5QhoB5U5gjTGoXlA3Mo3j0z-SA5ZfL9Pg9QwW32TkAbfe_tTfD-Dt_DZAd4s-hSSmdjfGYKkpyi6aHie36ChJaNyVUNUBFgvuHPq86S5uBtLYiYtyhJqNFGqWjXcT99lMK1cPcEtfRzS79SYOe-xcGSexkXGDa8iZSOg==&uniplatform=NZKPT&language=CHS
科技差距视角下技术机会识别方法优化研究,2025,2024.04.24,哈尔滨工程大学经济管理学院,尹航;李云柯;王志楠;闯雨桐;陈欣怡,科技差距视角下技术机会识别方法优化研究,科学学研究 ,No.02,TP391.1;TM615,[300-310],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kexattA_st0ZP6qwrvCwv4xHkOBIQPYcRXcZlLXyFMrNs1yl_yO9pU8UdQc6mu_WlWS01jBCy7EZJtaBs-OW0Ah8WUrUDk9Hlu23zZO5MF_j4ifHEGgYQJc_Oo62E2MlKP-fhHsCsMP8ttoEfqbPOtDWRFrBSK-TdejSTAvt0qKNA==&uniplatform=NZKPT&language=CHS
工程专业学位研究生综合能力的供需适配结构及其高影响要素,2024,2025.06.09,1.厦门大学高等教育发展研究中心;2.北京大学教育学院;3.北京大学研究生院,鲍威;何元皓;何峰;孙晓哲;陈得春,工程专业学位研究生综合能力的供需适配结构及其高影响要素,高等教育研究 ,No.12,G643;TB-4,[40-53],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd9vynzcPNjKbAIYG-UYlo0_srn1LPmzGmiZ4AprXqlQFr3XgLqcl0osInzPE147GuhMHf0YgmufzLfizjo1vSNxmcftayhcXEzruuXe7NolPFgFu10KmVpRO5tICos0cPVJWQX8aXcH1yezllw_kR3zt-pWkZmj9I6x7qGN5PHPw==&uniplatform=NZKPT&language=CHS
高等教育普及化的中国模式及其推进策略,2024,2025.04.10,厦门大学高等教育发展研究中心/教育研究院,别敦荣;邵剑耀,高等教育普及化的中国模式及其推进策略,高等教育研究 ,No.08,G649.2,[1-11],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcsKRDLVUT3YThTNsKbiWkQHW0fvpMHF4SuwLlEsr0mXrx9j5ik0WARYlKd61XZ4ENws8nIzC2JKMY_mi46iF0-C1n4igBq8XNk2uAUr_7JaDYl8bBOmt3f4kadMv2MsIzU55VMIJbznh7JTV-caYkhNmlGt5bJqjQGDstzp3MNKA==&uniplatform=NZKPT&language=CHS
智能算法应用下腐败治理的变革、价值隐忧与效果提升路径,2023,2023.04.04,1.杭州师范大学马克思主义学院;2.东北师范大学政法学院,张兰;李红权,智能算法应用下腐败治理的变革、价值隐忧与效果提升路径,广州大学学报(社会科学版) ,No.02,TP18;D630.9,[170-180],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfx3gevSdh5Ap4QILji7_8eRRSl-FH3UXzXGUpmsweCZJWpoWDGco2Gs3qd4-7HCo5pBooUoNk88DeS-w5PAHcTCjeBmi1Q5AtYN5NvobJzN7JiZ8avF366Q__8kdfkkL2KE3tP1HM0z6szXntePFruoM63_OrEGKaLxBbPFWzL1w==&uniplatform=NZKPT&language=CHS
绿色数字基建驱动城市绿色创新的机制及效应研究,2025,2024.07.04,1.昆明理工大学管理与经济学院;2.厦门大学管理学院;3.西安建筑科技大学管理学院,韩先锋;郑酌基;徐杰;董明放,绿色数字基建驱动城市绿色创新的机制及效应研究,管理学报 ,No.01,X22;F49;F124.3,[95-105],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfBt3w-QhefBKbDjukoVVU2Lludcbedzxn2kxquPwxULleIiFbhq3kAKh8NZXsDwAtEvOma-kkAf337CubvRE0o9S3x4uAIKxHzCYXTYpXJYdQVf_8PVvziLlNBAfAzB5vv3HRJG6xvJwwdj25Mg_UDo5Po1hCtAJ_EexX5l-JGKw==&uniplatform=NZKPT&language=CHS
“合内外”视野下阳明后学的发展及其分化,2020,2020.01.03,山东大学儒学高等研究院,颜炳罡;邝宁,“合内外”视野下阳明后学的发展及其分化,西南民族大学学报(人文社科版) ,No.01,B248.2,[58-65],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcYgG5ptId_QtVybGTo3JEFZT3SoQLxCGMcNqGXP2apVRZkGyyD8zzquH65KxFNnMXfQ-QaI_oxkx7vv1uVX6iM1NkEq85-xc-Zuu3N7sA2pVWrRCsBmha_aXxKnyXztE2PNB3BUOq2-Uy_gEFw7ohMz4r5UTGqP96I41x2LELMjg==&uniplatform=NZKPT&language=CHS
马克思的社会再生产理论与现代宏观经济学,2024,2025.02.06,1.云南财经大学金融研究院;2.山东财经大学经济学院,龚刚;辛阳;马千里,马克思的社会再生产理论与现代宏观经济学,南开经济研究 ,No.12,F091.91;F015,[3-21],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdE_tTc3zz-JGDPqXPbLDjeXFlbdYplk24RUoA2TTepavLehIX_-9blXXNyMkOeJrYkPEM5DzJ7hAuHE2ThAHfMdsBn68raP2UWeh_kQ-zEjYkVH_S60KT7xQMV3IMmhToFANz7imBZTwI_GeGT3c6z-whKuADbRwLPF07zRRbnKw==&uniplatform=NZKPT&language=CHS
宋代的三位“布衣”及其乐律学理论,2021,2021.09.28,,刘勇,宋代的三位“布衣”及其乐律学理论,中国音乐学 ,No.02,J609.2;K244,[39-48+78],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke0YRLBhw-meGYzFqOebcnMPMx2hIqCwp5sOpDf0WF9ArM1sevoLhP9glhWtlzdA88fsaldXjkVnFEGtlp_Ms0lMxcqdEnWbCgRbdQ79rwiqhYJXqEzgSbtV0qCBYMrIs4oUCbQBUpLHQQMRPJyGWLB0vXvr_PzMr112qWVQGwkag==&uniplatform=NZKPT&language=CHS
“左挹浮丘袖，右拍洪崖肩”——洪崖仙图考,2021,2021.11.07,柏林自由大学历史文化学院艺术史系,黄春梦,“左挹浮丘袖，右拍洪崖肩”—洪崖仙图考,美术 ,No.10,J212,[108-114],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcqImB-BvvTLaVjlFIswq0zr4eyc9mb_ekIFespSwQFCI71MVD4ZvAJdCFjwfV0_e6g_dP-tCzBqXQSNk2LgZpey0__roikX1Jo2_co1uozXGYuU5HaFKN2o8dKcSPnsm9BbV_J_Gmeck_fcM3FvEC2FP_1SA2GEhSfcvt8BQIF0g==&uniplatform=NZKPT&language=CHS
运动通过改善PD模型小鼠纹状体D2MSN-D1MSN侧抑制效应调节基底神经节信息输出,2020,2020.04.07,北京师范大学体育与运动学院,赵刚;刘晓莉;乔德才,运动通过改善PD模型小鼠纹状体D2MSN-D1MSN侧抑制效应调节基底神经节信息输出,体育科学 ,No.01,R742.5;R-332,[59-66+78],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdrjkKnP-kQr5wKGayUWakkf3kK_QIv3hKl8HzaS_LgW3KV8i9-B1ci75ncribxIGLLDtxloVjgRoXwYAuJYs7G2UECIL2qVW6oO0YhNHCYxG3AXUEjnoLBV40-0YB4LnrhJVsZuqyGkXhXe2cRemBl0vz_H593wmYAxzucIXIYRQ==&uniplatform=NZKPT&language=CHS
数字金融发展的劳动力迁移效应——来自中国家庭追踪调查的微观证据,2024,2025.04.03,"1.西南财经大学统计学院;2.北京师范大学统计学院;3.北京大学数字金融研究中心;4.Big Data Laboratory on Financial Security and Behavior,Southwestern University of Finance and Economics Laboratory of Philosophy and Social Sciences,Ministry of Education",谭莹;王盼;张勋,数字金融发展的劳动力迁移效应——来自中国家庭追踪调查的微观证据,金融研究 ,No.10,F832;F249.2;F49,[39-57],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keJXEs9AoTkPUTQtjSkF9-wz0iGDDulpnyOvEBlnMOvpghfV2PKwQJIeqqJdsOPTcllIGOw0qQpSEyf7qufITQ3TCuir3M7eVpQTTRNIFIhb-cwiskPD0vsg2zhm_aDlkRR--3d9hM8402YYdXd3Oyg9y7zrC6RGxa0MZ1_X0_kLg==&uniplatform=NZKPT&language=CHS
智障儿童青少年基本运动技能干预研究系统综述,2021,2021.04.23,1.北京师范大学体育与运动学院;2.北京体育大学中国田径运动学院,郭成根;孙璞;陈奥娜,智障儿童青少年基本运动技能干预研究系统综述,中国特殊教育 ,No.03,G764,[26-32],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcKV9vY7pTQWHtjpmV3kOUphG557QObhFFA1Q2Zvls_r0fqcgyxGmSsfBsFmyJkANKO5ysQfPAeXTnqIKAGn4Qm7AF-ciRAVCXnAr97IKZD88PNOLpDHSsKo9BFelTqsB0LQAuPb4Ij5F3Hg4BTuPQLFaxI6pXI_0_CHx3B4YNwAg==&uniplatform=NZKPT&language=CHS
健康卫生融资约束、公共卫生冲击与医疗服务利用——基于SARS疫情的实证研究,2021,2021.12.17,1.山东财经大学保险学院;2.中国海洋大学管理学院;3.山东财经大学经济学院,于新亮;张文瑞;李倩;伊扬,健康卫生融资约束、公共卫生冲击与医疗服务利用——基于SARS疫情的实证研究,经济科学 ,No.06,R197.1,[143-156],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keXKWYjbQhL4e40Fw-L6aHoaqsp9oriLBzpLqwb16Sn3IcXSPWvDjGWNCzYqfcviUpcmE130n-hvbKFQJKNvQ-ONbFrglq0hPdzWtWzGgQGulEggZPG63wzWIMbAGfhbj-m3Ae8ozUWfN50jMqkZwPTz1ylT3HsTwO-QTQoLww_EA==&uniplatform=NZKPT&language=CHS
叶酸强化水稻改善人口营养健康的经济评价研究,2021,2022.01.04,1.山东财经大学保险学院;2.华中农业大学经济管理学院,廖芬;青平;李剑,叶酸强化水稻改善人口营养健康的经济评价研究,农业技术经济 ,No.12,R151,[17-32],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kehxxD4E9SuxvjwrHlk6TPj1o_pJEWyCeHZ2pj8_pzV_FRc6kqoitV1zxZLRw50xhNZm8na7-vSphqPHUTyxvFNj3udjhZfF2akSMfhchaPfKnOlwz2zxyrCatfN-z8jakHJJgCmnSjmhtvtd9xrwOJ_YP1UHgYpm-oC5XkpcHjpw==&uniplatform=NZKPT&language=CHS
系统韧性：一个统筹发展与安全的核心概念,2022,2022.07.08,北京航空航天大学公共管理学院,詹承豫;高叶;徐明婧,系统韧性：一个统筹发展与安全的核心概念,广州大学学报(社会科学版) ,No.04,D61;D631,[17-32],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcZQkB0_sFkP6LjnOJd3nyeq7JP0V2U6JrkP3a3KeU02nVWPxRaHnPLGWVwH8T3KFWN8tZU0GTXlfvAumEX4rauOjKEcNCm0zSsmhCNK_QiKGIGa2VnF04hh41xLLENQU1QyD-5J5mHE8sFuSRNJ38bJacfGgDCfs02OYRnHCBKNQ==&uniplatform=NZKPT&language=CHS
张钧挥作品,2022,2022.03.02,西安建筑科技大学艺术学院,张钧挥,张钧挥作品,中国出版 ,No.03,J42,[74],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd0mwrcIiwt5E6EVNjxZSxje4ka6v6e1a_BCXbnPWygvV-jP2wrElq20YgGTTkuquZp2roa7dWGTzrKdVxO1OvQyu88iDl61FD1S-wptUvZ-hjLyZ6u0zE0_JtihuwRRtNT1NShDeR24DgWaBInf3z6fHA3mtng-a7jtQ7xIvSmlA==&uniplatform=NZKPT&language=CHS
老舍回国邀请函实考,2020,2020.09.02,,王鹏;徐国卫,老舍回国邀请函实考,新文学史料 ,No.03,K206,[24-26],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcZvSpZC0Yf85Iyu1YYTlUUQj8zaTtNbn8of1CFpVUkeBM1706TEHUMwXZu2XOB-G_BvU5PsA20HI_pwqnOHGJJDSSWKueEcAIqihAeRw1TuRzpPAkx3W9YdcVK2weyL2jxF-OnVfk1ayh07I7Y4fKShCE43fmyOqGlySrJZpoZeA==&uniplatform=NZKPT&language=CHS
基于专利分析与TRIZ的新兴技术预测模型研究——以新能源汽车动力电池为例,查看该刊,2025.01.26,西安建筑科技大学管理学院,孙笑明;袁思懿;彭珍珍;张硕;刘天利,基于专利分析与TRIZ的新兴技术预测模型研究——以新能源汽车动力电池为例 网络首发,科技进步与对策 ,,未披露,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf9PJuvuOz2eF9tRtkSiiWmuxiVYOZTJQE4P37ysxwNwX5KvlnKfSJT3sav-mEzx218TZchfC_oTOdAidBQMvtotoGbIFmchu2PMQZ6JjV4CRArGiXlomft-NjSeVgohjco2--JKh0AytRY3rClQ2rU6fufFf0vViYyq1nvuNsFCw==&uniplatform=NZKPT&language=CHS
基于RoBERTa-MTL融合语言特征的有害文本识别,查看该刊,2025.04.28,西安建筑科技大学管理学院,张新生;张颢泷;马玉龙;王润周,基于RoBERTa-MTL融合语言特征的有害文本识别 网络首发,情报杂志 ,,TP391.1,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdJ9dC1oWML_OCoXwfhbeEOyac0G4IDPJ0WDXis016B5Rzj0lUpAOFZ8z6wgQuaM8HNRJlX_WpTmyzDP5vn7DK2d3k8hX_OlakvVjNuhgW9bn66rjRWw6vgO18vFLTbRnAI_je8ReHeEpP1MFjbHt2SGSZbxC-YJLTDvgqmlbIGkg==&uniplatform=NZKPT&language=CHS
半壁江山里的刺痛——周紫芝与《题卷雪楼》,2020,2020.04.13,,罗旻,半壁江山里的刺痛——周紫芝与《题卷雪楼》,读书 ,No.04,I207.22;K245,[93-101],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke9UHW16WfSREJWdBgJ6flamouKzB24DVu0-h9QGv60UYkgKur6YY91H02Z7If38-16VkAGVoMQo4LaRp2hCPDVpI9Cf-rLKjoukNl8PMg5PMmvTC1XgWtYgYon1KIJVTnwhUTmLZ7CA9RQWfmQ-cpaWj-0I2GboRUfgI8l5THAxg==&uniplatform=NZKPT&language=CHS
不同情感强度的负面在线评论对消费者态度的影响——基于调节定向理论的实验研究,2020,2019.12.04,山东财经大学管理科学与工程学院,刘鲁川;孙怡璐,不同情感强度的负面在线评论对消费者态度的影响——基于调节定向理论的实验研究,情报理论与实践 ,No.05,F274,[163-169],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kezjVOJJYDmgp_MM40LtflwRYTLsVTVb800utQK8wfYO-Vnk9-hbKREojBQQmeYGmyiGY0khB5Rig5UdOdXLdPHQAPlqseRkTs5_V9V0K4g4qf8dOUJbGDRsdS0TWN3-n4-Dgq8ITiaunQRcPGT3CCevMAM0DiS2Et1Ih3k530yxA==&uniplatform=NZKPT&language=CHS
“科学文化自信”的出场学研究,2021,2021.02.05,南京信息工程大学马克思主义学院,伍光良,“科学文化自信”的出场学研究,湖南科技大学学报(社会科学版) ,No.01,G122,[111-118],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keOGNpAsMIQJQNmgby4V4exVxHvganoIg_vmPq4M9fUxZ1Og1JjPqu2a07vOk3Li0dFn2gOMGlIjAuUmEP3MxEhxZBGTnZHlR2duiAcfPUhrwHWgIJjLAryPYnmkAHdYRu5NCotERXU5nUMfSbWZ84eUbZRgH_Ot6yjv25qM_tO3g==&uniplatform=NZKPT&language=CHS
“社会—空间”视角下古城“自更新”路径与模式探索——以米脂古城为例,2024,2025.01.21,1.西安建筑科技大学建筑学院、绿色建筑全国重点实验室;2.西安建筑科技大学建筑学院城乡规划系,田达睿;万雨杭,“社会—空间”视角下古城“自更新”路径与模式探索——以米脂古城为例,城市规划学刊 ,No.06,TU984.114,[87-95],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke7bq6BghCrtW2BW-7Hd6CDUJtF51ZlRtbkAIQJvbKCi-a_Sc8aPy8dEtnxunxLL2MGiFv8JroxBoMl74fdcs4kZl6WKLAzq1zMy3cfgr87KpKLd87qe6YQD3H3RX4AYXzFAZbrL5G-NIoUTvxhTKqUtxw9kHawBl9UUsZCwSoUvw==&uniplatform=NZKPT&language=CHS
晚清黄河北徙影响下的治所城市水患及其应对,2022,2023.05.30,山东财经大学文学与新闻传播学院,古帅,晚清黄河北徙影响下的治所城市水患及其应对——基于濮州、齐东、利津三城的考察,城市史研究 ,No.01,K252;TV882.1,[272-287],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfPEuSCOIJ98D8WYaLzCjnKYGrKbB-vcALsWSCRXS9xybzp5eLq6fTY9tV2oR7X3I281ZLqqxkNaJ5ZrCAcZ0EWiWUiuhZG2SUXj6zvHGilTyJ5yOpGf0UdxLNcrVMwDSrHAcfkoD4RyAxlC-tG6JCk2rM9Pgi9G7KfGVrLWJWbBw==&uniplatform=NZKPT&language=CHS
财政补贴动态调整与村镇装配式建造决策研究,查看该刊,2025.06.12,西安建筑科技大学管理学院,王腊银;程一珊,财政补贴动态调整与村镇装配式建造决策研究 网络首发,系统工程理论与实践 ,,F812.8;F426.92,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdGS2hSY-gW3wTtOjHIFotAmj3cnEtmKHKTZjUTTuEuwbp0fxXbswWxQ7SgCALKL-WMZVJmJTmp1utXUck2RwZa3TDee1_NzfUO2y1VsqRmvyo1LQZmoIldmW9XDxqxrgMktJCq7icM_1tkMVcaQGmRy66uJ-Y3FwQd47eB4eyYuw==&uniplatform=NZKPT&language=CHS
短视频视听感官陷阱:虚假信息采纳意愿的影响机制,查看该刊,2025.07.03,1.西安建筑科技大学管理学院;2.上海交通大学媒体与传播学院,张志霞;李洁;董婳婳;张新生,短视频视听感官陷阱:虚假信息采纳意愿的影响机制 网络首发,情报杂志 ,,G252,[未披露],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc9zoEv2Ev76halkggZud0u-oOBNCXUGmxo2B4hbTkxRFdLxswz2ehThVcd2_Ksi4zvYCcTZUkxSBqWJGcWqx7DRJ57AmGu2R_A6g-elaRaQIznprQlxmlBB94URj16xDJvt58vufZP32CC8ovGY5YSTlvicr9bKh28UiZ-vxfqlg==&uniplatform=NZKPT&language=CHS
融合响应特征差异的多模态AI虚假信息检测,2025,2025.03.13,西安建筑科技大学管理学院,张新生;林承宇;马玉龙;王润周,融合响应特征差异的多模态AI虚假信息检测,情报杂志 ,No.07,TP18;TP391.1;TP391.41,[122-134],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keHuoiSNCW6A9ASSf62gXyTkYQpt8wqmXewCwSU7EuT7VAq0jFMEwYOrhsgt3Qb1PAcVBHCP_K-A77TCKfny1gubHPtzY2mdNBLgDvfijCpWQPp6jsDJ-r2m_f58_zhNHsyPmpggbIrOZpH-GHFRwpKv5t7TcCcCGw_MRTJkmbfxQ==&uniplatform=NZKPT&language=CHS
注册制改革与同行核准制公司的风险承担,2025,2025.04.07,1.海南大学国际商学院;2.广东工业大学管理学院,吴锡皓;谭嘉怡;陈沉,注册制改革与同行核准制公司的风险承担,财经理论与实践 ,No.02,F832.51;F272.3,[81-89],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfAyzdXQGOEnPhDptt6tcE0VE50QPsKYcNEuoR9py2qvtGzUK9C85ll9o3dWR-Icg3eCwqjKqJIbgr6olU3QVnjD-d3IKocAsaY3g7-uc5Nl5L2FhF9PMSwggBZUFbyVYLmcQCOkbRpZLp5YJVPPDc8m52QHEVjRsf2_Pvu0uc6dg==&uniplatform=NZKPT&language=CHS
低碳战略规划对企业绿色创新绩效的影响机制——基于大数据模型的指标测度,2025,2025.02.12,1.海南大学国际商学院;2.大连理工大学经济管理学院,刘斌;刘彦文;李延喜,低碳战略规划对企业绿色创新绩效的影响机制——基于大数据模型的指标测度,科研管理 ,No.04,X322;F273.1;F832.51,[118-126],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdLzPKf4cy_ICreewdy9jsyQFsgdQEXalf2HvVo4BBMhv4DJqy_19iAURvcpgsCJwqpX0O_HhEVu6-xmrvXoGw-KZwnwytnwYkkN8UVH8ePNQihRRW-bkpEeLSznyfZ-bfc-tbK2wOX_dQQ5pTy4HZvPTkXQTjojNugJfIEqsOtzw==&uniplatform=NZKPT&language=CHS
安大简《曹沫之陈》里的“■”,2023,2023.08.18,1.三峡大学文学与传媒学院;2.华中科技大学中国语言研究所,程邦雄;钱晨,安大简《曹沫之陈》里的“■”,古汉语研究 ,No.03,H121,[2-7],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke1P42ZHHJvQjUOXBxjo9kEHsrB4USnXLfFT79N0IMdAW4Bd4X25UMfwgRZiCuUYk-G5oxSsWsNqV-CcbgSUDok8NgGqslKVCK3aNeCquS8I-1hBBUMCxQMuv5Y2aSNlrQlNcoJOiRPXdA2-DRq09WTH9QEuFQQAmJF7NLeRKpvWA==&uniplatform=NZKPT&language=CHS
